"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 10:00","2014","01","11","10:00","-0.9","","-1.7","","94","","0.0","","2","","7","","","","99.85","","","","-3","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 11:00","2014","01","11","11:00","0.0","","-0.7","","95","","0.0","","2","","6","","","","99.65","","","","-2","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 12:00","2014","01","11","12:00","5.6","","4.3","","91","","3.4","","14","","15","","","","99.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 13:00","2014","01","11","13:00","2.3","","0.8","","90","","1.5","","19","","4","","","","99.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 14:00","2014","01","11","14:00","1.1","","0.4","","96","","1.6","","1","","8","","","","99.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 15:00","2014","01","11","15:00","1.6","","1.0","","96","","1.4","","2","","5","","","","98.87","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 16:00","2014","01","11","16:00","4.9","","4.3","","96","","0.7","","15","","8","","","","98.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 17:00","2014","01","11","17:00","1.9","","1.4","","97","","0.0","","2","","7","","","","98.56","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 18:00","2014","01","11","18:00","1.5","","1.1","","97","","0.2","","2","","9","","","","98.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 19:00","2014","01","11","19:00","3.6","","3.1","","97","","0.0","","11","","10","","","","98.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 20:00","2014","01","11","20:00","3.6","","3.2","","97","","0.0","","14","","13","","","","98.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 21:00","2014","01","11","21:00","6.9","","6.5","","98","","0.5","","21","","25","","","","98.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 22:00","2014","01","11","22:00","7.1","","6.2","","94","","0.0","","23","","23","","","","98.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-11 23:00","2014","01","11","23:00","6.8","","5.1","","89","","0.0","","24","","28","","","","98.24","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 00:00","2014","01","12","00:00","5.3","","3.4","","87","","0.0","","23","","26","","","","98.34","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 01:00","2014","01","12","01:00","5.3","","2.8","","84","","0.0","","23","","31","","","","98.43","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 02:00","2014","01","12","02:00","4.2","","1.5","","83","","0.0","","23","","29","","","","98.55","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 03:00","2014","01","12","03:00","3.8","","0.9","","82","","0.0","","24","","30","","","","98.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 04:00","2014","01","12","04:00","3.5","","0.3","","79","","0.0","","24","","35","","","","98.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 05:00","2014","01","12","05:00","2.9","","0.3","","83","","0.0","","24","","31","","","","98.77","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 06:00","2014","01","12","06:00","3.1","","0.0","","80","","0.0","","25","","30","","","","98.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 07:00","2014","01","12","07:00","3.2","","-0.5","","77","","0.0","","26","","34","","","","99.06","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 08:00","2014","01","12","08:00","2.8","","-0.5","","79","","0.0","","26","","29","","","","99.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 09:00","2014","01","12","09:00","2.6","","-1.4","","75","","0.0","","27","","28","","","","99.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 10:00","2014","01","12","10:00","2.8","","-1.3","","75","","0.0","","26","","22","","","","99.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 11:00","2014","01","12","11:00","2.2","","-0.1","","85","","0.0","","25","","21","","","","99.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 12:00","2014","01","12","12:00","2.2","","0.1","","86","","0.0","","25","","20","","","","99.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 13:00","2014","01","12","13:00","3.0","","-0.4","","79","","0.0","","25","","26","","","","99.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 14:00","2014","01","12","14:00","2.4","","-0.5","","81","","0.0","","26","","30","","","","99.81","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 15:00","2014","01","12","15:00","2.4","","-1.4","","76","","0.0","","26","","36","","","","99.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 16:00","2014","01","12","16:00","2.3","","-2.6","","70","","0.0","","26","","32","","","","100.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 17:00","2014","01","12","17:00","2.1","","-2.4","","72","","0.0","","26","","31","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 18:00","2014","01","12","18:00","1.9","","-2.6","","72","","0.0","","26","","27","","","","100.44","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 19:00","2014","01","12","19:00","1.9","","-2.5","","73","","0.0","","26","","22","","","","100.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 20:00","2014","01","12","20:00","2.0","","-2.7","","71","","0.0","","25","","20","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 21:00","2014","01","12","21:00","2.0","","-3.3","","68","","0.0","","26","","21","","","","100.71","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 22:00","2014","01","12","22:00","1.9","","-4.1","","65","","0.0","","26","","15","","","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-12 23:00","2014","01","12","23:00","1.3","","-4.5","","65","","0.0","","26","","18","","","","100.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 00:00","2014","01","13","00:00","0.9","","-4.5","","67","","0.0","","24","","11","","","","100.83","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 01:00","2014","01","13","01:00","1.1","","-2.5","","77","","0.0","","22","","11","","","","100.92","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 02:00","2014","01","13","02:00","0.9","","-2.5","","78","","0.0","","21","","17","","","","100.94","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 03:00","2014","01","13","03:00","0.9","","-1.8","","82","","0.0","","20","","20","","","","100.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 04:00","2014","01","13","04:00","0.3","","-2.2","","83","","0.0","","19","","12","","","","100.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 05:00","2014","01","13","05:00","-0.9","","-3.2","","84","","0.0","","16","","12","","","","100.91","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 06:00","2014","01","13","06:00","-0.2","","-3.6","","78","","0.0","","16","","16","","","","100.77","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 07:00","2014","01","13","07:00","0.6","","-3.4","","75","","0.0","","15","","25","","","","100.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 08:00","2014","01","13","08:00","0.2","","-3.5","","76","","0.0","","15","","17","","","","100.74","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 09:00","2014","01","13","09:00","1.0","","-3.1","","74","","0.0","","16","","22","","","","100.73","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 10:00","2014","01","13","10:00","1.9","","-2.8","","71","","0.0","","15","","25","","","","100.66","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 11:00","2014","01","13","11:00","2.9","","-2.6","","67","","0.0","","14","","19","","","","100.58","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 12:00","2014","01","13","12:00","3.1","","-2.2","","68","","0.0","","14","","18","","","","100.47","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 13:00","2014","01","13","13:00","3.9","","-2.6","","63","","0.0","","15","","22","","","","100.39","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 14:00","2014","01","13","14:00","3.8","","-2.1","","65","","0.0","","14","","15","","","","100.35","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 15:00","2014","01","13","15:00","3.7","","-1.8","","67","","0.0","","14","","17","","","","100.31","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 16:00","2014","01","13","16:00","3.8","","-1.9","","66","","0.0","","14","","13","","","","100.30","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 17:00","2014","01","13","17:00","3.8","","-1.8","","67","","0.0","","14","","18","","","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 18:00","2014","01","13","18:00","4.2","","-1.8","","65","","0.0","","15","","21","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 19:00","2014","01","13","19:00","3.6","","-1.1","","71","","0.0","","14","","16","","","","100.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 20:00","2014","01","13","20:00","3.7","","-1.0","","72","","0.0","","13","","15","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 21:00","2014","01","13","21:00","3.5","","-1.0","","72","","0.0","","14","","14","","","","100.12","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 22:00","2014","01","13","22:00","3.1","","-0.8","","75","","0.0","","14","","11","","","","100.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-13 23:00","2014","01","13","23:00","3.5","","-1.1","","72","","0.0","","26","","7","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 00:00","2014","01","14","00:00","3.4","","-0.2","","77","","0.0","","11","","8","","","","100.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 01:00","2014","01","14","01:00","3.1","","-0.1","","80","","0.0","","13","","17","","","","99.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 02:00","2014","01","14","02:00","2.7","","0.4","","85","","0.4","","15","","16","","","","100.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 03:00","2014","01","14","03:00","2.6","","1.5","","92","","1.4","","15","","12","","","","99.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 04:00","2014","01","14","04:00","2.5","","1.7","","94","","1.0","","15","","10","","","","99.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 05:00","2014","01","14","05:00","2.8","","1.8","","93","","0.5","","15","","14","","","","99.95","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 06:00","2014","01","14","06:00","2.8","","1.8","","93","","0.6","","15","","12","","","","99.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 07:00","2014","01","14","07:00","3.2","","2.3","","94","","0.7","","19","","7","","","","99.99","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 08:00","2014","01","14","08:00","3.5","","2.3","","92","","0.0","","21","","9","","","","100.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 09:00","2014","01","14","09:00","3.5","","2.7","","95","","0.3","","19","","10","","","","100.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 10:00","2014","01","14","10:00","4.0","","3.4","","96","","0.0","","20","","11","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 11:00","2014","01","14","11:00","3.9","","3.3","","96","","0.0","","24","","7","","","","100.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 12:00","2014","01","14","12:00","4.4","","3.9","","96","","0.0","","24","","8","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 13:00","2014","01","14","13:00","4.2","","3.5","","95","","0.0","","21","","8","","","","100.10","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 14:00","2014","01","14","14:00","3.8","","3.1","","95","","0.0","","19","","10","","","","100.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 15:00","2014","01","14","15:00","3.9","","3.1","","95","","0.0","","23","","7","","","","100.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 16:00","2014","01","14","16:00","3.2","","2.4","","94","","0.0","","26","","8","","","","100.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 17:00","2014","01","14","17:00","3.8","","2.8","","93","","0.0","","27","","9","","","","100.19","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 18:00","2014","01","14","18:00","3.7","","2.8","","94","","0.0","","24","","7","","","","100.20","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 19:00","2014","01","14","19:00","3.0","","2.2","","94","","0.0","","26","","7","","","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 20:00","2014","01","14","20:00","2.7","","1.8","","94","","0.0","","27","","11","","","","100.24","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 21:00","2014","01","14","21:00","2.3","","1.1","","92","","0.0","","28","","13","","","","100.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 22:00","2014","01","14","22:00","2.1","","-0.3","","84","","0.0","","26","","14","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-14 23:00","2014","01","14","23:00","1.5","","-1.5","","80","","0.0","","26","","16","","","","100.40","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 00:00","2014","01","15","00:00","0.4","","-2.7","","80","","0.0","","27","","12","","","","100.43","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 01:00","2014","01","15","01:00","-0.9","","-3.2","","85","","0.0","","25","","10","","","","100.47","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 02:00","2014","01","15","02:00","-1.5","","-3.6","","85","","0.0","","24","","7","","","","100.54","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 03:00","2014","01","15","03:00","-1.7","","-4.1","","84","","0.0","","22","","11","","","","100.68","","","","-6","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 04:00","2014","01","15","04:00","-2.0","","-4.6","","83","","0.0","","25","","5","","","","100.69","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 05:00","2014","01","15","05:00","-2.9","","-4.9","","86","","0.0","","22","","5","","","","100.69","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 06:00","2014","01","15","06:00","-2.7","","-4.8","","85","","0.0","","14","","2","","","","100.69","","","","-3","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 07:00","2014","01","15","07:00","-2.5","","-4.5","","86","","0.0","","20","","7","","","","100.76","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 08:00","2014","01","15","08:00","-1.7","","-4.2","","83","","0.0","","10","","5","","","","100.76","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 09:00","2014","01","15","09:00","-0.9","","-3.9","","80","","0.0","","14","","8","","","","100.82","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 10:00","2014","01","15","10:00","0.2","","-3.3","","77","","0.0","","9","","8","","","","100.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 11:00","2014","01","15","11:00","0.9","","-2.5","","78","","0.0","","12","","11","","","","100.79","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 12:00","2014","01","15","12:00","1.2","","-1.6","","82","","0.0","","14","","11","","","","100.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 13:00","2014","01","15","13:00","1.0","","-1.1","","86","","0.0","","13","","14","","","","100.59","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 14:00","2014","01","15","14:00","0.9","","-0.8","","89","","0.0","","17","","5","","","","100.63","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 15:00","2014","01","15","15:00","2.3","","0.4","","88","","0.0","","21","","11","","","","100.67","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 16:00","2014","01","15","16:00","1.8","","-0.6","","84","","0.0","","23","","16","","","","100.78","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 17:00","2014","01","15","17:00","1.3","","-2.3","","77","","0.0","","21","","14","","","","100.82","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 18:00","2014","01","15","18:00","1.1","","-3.0","","74","","0.0","","22","","13","","","","100.85","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 19:00","2014","01","15","19:00","0.9","","-3.6","","72","","0.0","","23","","20","","","","100.90","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 20:00","2014","01","15","20:00","0.5","","-5.0","","67","","0.0","","25","","18","","","","100.91","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 21:00","2014","01","15","21:00","0.1","","-4.6","","70","","0.0","","22","","12","","","","100.96","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 22:00","2014","01","15","22:00","-0.1","","-5.2","","68","","0.0","","23","","12","","","","100.98","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-15 23:00","2014","01","15","23:00","-0.5","","-4.6","","74","","0.0","","22","","9","","","","100.96","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 00:00","2014","01","16","00:00","-0.7","","-5.0","","72","","0.0","","22","","11","","","","100.96","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 01:00","2014","01","16","01:00","-0.8","","-5.1","","72","","0.0","","20","","13","","","","100.94","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 02:00","2014","01","16","02:00","-0.9","","-4.9","","74","","0.0","","22","","10","","","","100.98","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 03:00","2014","01","16","03:00","-1.1","","-5.2","","74","","0.0","","21","","11","","","","100.98","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 04:00","2014","01","16","04:00","-1.1","","-5.2","","73","","0.0","","21","","11","","","","101.04","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 05:00","2014","01","16","05:00","-1.2","","-5.3","","73","","0.0","","24","","8","","","","101.01","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 06:00","2014","01","16","06:00","-1.3","","-5.0","","76","","0.0","","23","","9","","","","101.04","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 07:00","2014","01","16","07:00","-1.6","","-4.9","","78","","0.0","","24","","6","","","","101.06","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 08:00","2014","01","16","08:00","-2.2","","-5.0","","81","","0.0","","24","","7","","","","101.06","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 09:00","2014","01","16","09:00","-2.2","","-5.2","","80","","0.0","","27","","7","","","","101.09","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 10:00","2014","01","16","10:00","-2.0","","-5.4","","77","","0.0","","26","","7","","","","101.20","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 11:00","2014","01","16","11:00","-1.1","","-6.6","","66","","0.0","","27","","10","","","","101.15","","","","-5","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 12:00","2014","01","16","12:00","-0.5","","-6.8","","62","","0.0","","26","","9","","","","101.07","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 13:00","2014","01","16","13:00","-0.4","","-7.2","","60","","0.0","","19","","11","","","","101.05","","","","-4","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 14:00","2014","01","16","14:00","-0.2","","-7.6","","57","","0.0","","20","","7","","","","101.00","","","","-3","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 15:00","2014","01","16","15:00","-0.4","","-7.6","","58","","0.0","","17","","8","","","","101.03","","","","-3","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 16:00","2014","01","16","16:00","-1.0","","-8.6","","56","","0.0","","","M","1","","","","101.01","","","","-1","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 17:00","2014","01","16","17:00","-1.2","","-8.2","","59","","0.0","","15","","2","","","","101.00","","","","-2","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2014-01-16 18:00","2014","01","16","18:00","-1.2","","-8.3","","58","","0.0","","15","","5","","","","100.99","","","","-3","","NA"
